course_section_id,course_id,course_section_status,max_enrollment,delivery_mode
158449,307003,active,12,Online
186916,346916,active,12,Online
6603,295842,active,12,Online
25120,295842,active,12,Online
189644,349651,active,12,Online
193357,356012,active,12,Online
180787,177239,active,12,Online
191404,351434,active,12,Online
92487,320545,active,12,Online
196763,354101,active,12,Online
189416,352063,active,12,Online
194845,346963,active,12,Online
190103,352713,active,12,Online
195248,350007,active,12,Online
194850,349603,active,12,Online
187801,347781,active,12,Online
187152,354972,active,12,Online
191745,354365,active,12,Online
190767,353394,active,12,Online
191637,349019,active,12,Online
192437,352465,active,12,Online
188138,350762,active,12,Online
187130,347138,active,12,Online
194530,357159,active,12,Online
189459,354701,active,12,Online
194928,347050,active,12,Online
190092,352705,active,12,Online
195266,352627,,12,Online
92778,295842,active,12,Online
188612,356488,active,12,Online
188053,350680,,12,Online
195279,355239,active,12,Online
191035,351040,active,12,Online
187519,350135,active,12,Online
193960,348715,active,12,Online
189980,347365,active,12,Online
190613,347992,active,12,Online
195582,347689,active,12,Online
195870,347974,active,12,Online
73363,250862,active,12,Online
190866,348229,active,12,Online
195819,355789,active,12,Online
195719,350479,active,12,Online
159119,282076,active,12,Online
195418,355405,active,12,Online
191053,351054,active,12,Online
188237,353499,active,12,Online
197166,353846,active,12,Online
188780,356658,active,12,Online
187393,347730,active,12,Online
196393,351101,active,12,Online
191064,348410,active,12,Online
25910,192609,active,12,Online
190892,353024,active,12,Online
191222,353844,active,12,Online
194433,354405,active,12,Online
195261,352622,active,12,Online
152124,249848,active,12,Online
191558,356794,active,12,Online
187346,352584,active,12,Online
188368,351003,active,12,Online
186863,346856,active,12,Online
193670,348443,active,12,Online
190322,347687,active,12,Online
191811,357066,active,12,Online
194634,349373,active,12,Online
194694,354670,active,12,Online
72608,295842,active,12,Online
71556,248600,active,12,Online
152726,307003,active,12,Online
188389,351023,active,12,Online
186844,349469,active,12,Online
196411,353749,active,12,Online
194028,356662,active,12,Online
189206,357096,active,12,Online
194103,348854,active,12,Online
189592,354814,active,12,Online
194170,354167,active,12,Online
189036,356922,active,12,Online
189382,347850,active,12,Online
152706,307003,active,12,Online
189981,355214,active,12,Online
195731,353069,active,12,Online
189942,349978,active,12,Online
190419,353020,active,12,Online
187794,355667,active,12,Online
187763,355635,active,12,Online
195222,349976,active,12,Online
192608,347371,active,12,Online
188962,354207,active,12,Online
194442,349187,active,12,Online
187045,349673,active,12,Online
192272,354853,active,12,Online
187127,352379,active,12,Online
105711,290842,active,12,Online
191561,351574,active,12,Online
467,299065,active,13,Online
190010,347390,active,13,Online
110384,296516,active,13,Online
111800,344293,active,13,Online
156353,325215,active,13,Online
193434,348187,active,13,Online
190495,350508,active,13,Online
196264,348329,active,13,Online
196770,351516,active,13,Online
196353,351055,active,13,Online
40851,257109,active,13,Online
188807,356678,active,13,Online
143084,336587,active,13,Online
189025,356914,active,13,Online
196607,352681,active,13,Online
197029,349137,active,13,Online
154300,261472,active,13,Online
189724,347130,active,13,Online
8983,263753,active,13,Online
194943,354892,active,269,Online
27087,213526,active,14,Online
188105,353345,active,14,Online
